policy_id,policy_date,agency,policy_type,affected_hcpcs_code,hospital_id,hospital_state,service_volume,avg_reimbursement_before_usd,avg_reimbursement_after_usd,claim_rejection_risk_score,estimated_financial_impact_usd
POL100120,2023-06-30,CDC,Coverage Expansion,93010,HOSP1009,MA,3942,299.07,383.01,0.288,330891.48
POL100121,2025-03-28,CDC,Compliance Requirement,G0463,HOSP1103,OH,3045,473.17,502.48,0.932,89248.95
POL100122,2023-06-23,HHS,Compliance Requirement,80053,HOSP1194,OH,3486,100.17,79.2,0.005,-73101.42
POL100123,2024-04-21,FDA,Coding Guideline Update,99215,HOSP1063,CA,1728,41.8,38.29,0.267,-6065.28
POL100124,2022-12-08,CMS,Coverage Expansion,G0463,HOSP1117,MO,200,492.71,398.19,0.182,-18904.0
POL100125,2023-11-26,CDC,Reimbursement Update,J3490,HOSP1241,CO,1113,401.39,397.06,0.291,-4819.29
POL100126,2022-04-29,HHS,Compliance Requirement,80048,HOSP1118,CA,166,123.92,119.25,0.084,-775.22
POL100127,2024-10-11,CMS,Reimbursement Update,83036,HOSP1215,WI,4291,102.84,89.05,0.456,-59172.89
POL100128,2023-08-31,HHS,Coding Guideline Update,A0427,HOSP1094,MD,3909,304.01,321.63,0.51,68876.58
POL100129,2024-11-10,HHS,Reimbursement Update,93010,HOSP1269,PA,2754,506.62,547.91,0.085,113712.66
POL100130,2025-02-20,FDA,Reimbursement Update,90471,HOSP1039,NC,1702,565.59,499.21,0.43,-112978.76
POL100131,2023-09-10,HHS,Billing Rule Change,85025,HOSP1227,TN,3597,68.6,67.62,0.318,-3525.06
POL100132,2022-07-08,CDC,Billing Rule Change,A0425,HOSP1287,IL,2853,575.56,716.35,0.52,401673.87
POL100133,2022-08-08,CMS,Billing Rule Change,J2405,HOSP1176,GA,4278,579.8,652.3,0.423,310155.0
POL100134,2023-12-26,FDA,Compliance Requirement,J1100,HOSP1287,TX,4281,315.96,241.84,0.706,-317307.72
POL100135,2024-01-10,CMS,Billing Rule Change,36415,HOSP1052,MD,2617,131.46,150.09,0.832,48754.71
POL100136,2024-05-05,CDC,Billing Rule Change,93000,HOSP1139,TX,1634,76.54,91.86,0.028,25032.88
POL100137,2022-03-24,HHS,Coding Guideline Update,93000,HOSP1062,OH,421,199.29,233.52,0.875,14410.83
POL100138,2025-02-20,HHS,Coding Guideline Update,A0427,HOSP1151,CO,2212,76.92,79.09,0.64,4800.04
POL100139,2023-02-04,FDA,Coding Guideline Update,83036,HOSP1140,WA,314,181.87,186.48,0.769,1447.54
POL100140,2024-05-24,HHS,Compliance Requirement,80053,HOSP1111,NY,3500,571.16,504.53,0.239,-233205.0
POL100141,2022-06-15,CDC,Billing Rule Change,J1100,HOSP1249,WI,1776,598.11,692.42,0.56,167494.56
POL100142,2024-11-01,CDC,Billing Rule Change,93010,HOSP1299,TX,2451,74.38,87.46,0.401,32059.08
POL100143,2022-03-25,CMS,Reimbursement Update,G0463,HOSP1203,CO,3954,122.32,126.03,0.342,14669.34
POL100144,2022-07-23,CDC,Coverage Expansion,99214,HOSP1243,WA,3329,98.81,77.34,0.703,-71473.63
POL100145,2023-12-19,CDC,Coding Guideline Update,80053,HOSP1124,FL,3961,107.26,127.13,0.926,78705.07
POL100146,2024-08-29,FDA,Compliance Requirement,G0463,HOSP1204,MD,3184,272.75,340.04,0.213,214251.36
POL100147,2022-10-29,FDA,Billing Rule Change,90471,HOSP1297,AZ,2568,174.82,195.01,0.753,51847.92
POL100148,2024-02-28,HHS,Reimbursement Update,83036,HOSP1084,FL,3842,287.9,256.79,0.56,-119524.62
POL100149,2025-02-04,HHS,Reimbursement Update,J2405,HOSP1149,MO,1433,241.54,312.56,0.998,101771.66
POL100150,2024-03-15,CMS,Compliance Requirement,80048,HOSP1176,CA,991,278.9,342.04,0.923,62571.74
POL100151,2024-01-08,HHS,Coding Guideline Update,99214,HOSP1067,IN,1244,155.44,118.31,0.635,-46189.72
POL100152,2024-05-06,FDA,Compliance Requirement,93000,HOSP1106,IN,721,593.49,696.48,0.847,74255.79
POL100153,2022-05-13,HHS,Reimbursement Update,93010,HOSP1271,NC,1780,106.05,113.91,0.657,13990.8
POL100154,2022-10-29,HHS,Coverage Expansion,J1885,HOSP1017,FL,2936,400.02,310.64,0.767,-262419.68
POL100155,2024-05-09,FDA,Reimbursement Update,J1885,HOSP1045,NC,4252,539.23,430.83,0.437,-460916.8
POL100156,2024-03-14,FDA,Billing Rule Change,83036,HOSP1113,NC,4928,118.57,101.12,0.461,-85993.6
POL100157,2024-01-25,FDA,Coding Guideline Update,A0429,HOSP1222,AZ,2246,60.02,53.32,0.774,-15048.2
POL100158,2023-12-14,CMS,Coding Guideline Update,80053,HOSP1138,AZ,764,333.48,291.03,0.096,-32431.8
POL100159,2023-03-17,CDC,Coding Guideline Update,A0427,HOSP1078,CA,4973,207.82,224.58,0.571,83347.48
POL100160,2024-10-29,CDC,Coding Guideline Update,36415,HOSP1151,CA,3835,62.2,47.52,0.966,-56297.8
POL100161,2024-03-28,CMS,Coding Guideline Update,90471,HOSP1023,CO,2483,309.22,378.67,0.657,172444.35
POL100162,2022-04-17,HHS,Compliance Requirement,A0427,HOSP1250,NY,3014,111.18,139.95,0.646,86712.78
POL100163,2023-02-27,CDC,Compliance Requirement,85025,HOSP1103,WI,3205,103.82,83.91,0.351,-63811.55
POL100164,2025-02-06,HHS,Reimbursement Update,71020,HOSP1043,OH,782,519.17,612.51,0.282,72991.88
POL100165,2022-11-04,FDA,Compliance Requirement,A0427,HOSP1038,AZ,3116,182.93,177.92,0.581,-15611.16
POL100166,2024-07-13,CDC,Reimbursement Update,85025,HOSP1256,MN,1290,217.86,204.12,0.159,-17724.6
POL100167,2023-06-15,FDA,Reimbursement Update,J2405,HOSP1026,NY,4975,398.21,310.23,0.687,-437700.5
POL100168,2025-04-15,FDA,Compliance Requirement,J1885,HOSP1124,MA,2348,470.67,451.43,0.262,-45175.52
POL100169,2024-08-11,FDA,Billing Rule Change,83036,HOSP1198,WI,1816,588.37,741.55,0.181,278174.88
POL100170,2022-09-02,HHS,Reimbursement Update,85025,HOSP1284,TN,3613,264.35,255.2,0.518,-33058.95
POL100171,2024-03-03,CMS,Billing Rule Change,99215,HOSP1035,GA,167,248.3,256.22,0.132,1322.64
POL100172,2022-08-10,CMS,Compliance Requirement,83036,HOSP1181,IL,4496,204.79,179.72,0.616,-112714.72
POL100173,2022-12-15,HHS,Billing Rule Change,36415,HOSP1165,CA,2451,220.17,182.44,0.071,-92476.23
POL100174,2022-10-01,CDC,Compliance Requirement,J1885,HOSP1179,NY,766,411.67,321.75,0.419,-68878.72
POL100175,2023-11-30,CMS,Billing Rule Change,J1885,HOSP1147,CO,3066,376.44,352.77,0.63,-72572.22
POL100176,2025-04-03,CMS,Coverage Expansion,71020,HOSP1203,AZ,2948,312.45,295.44,0.329,-50145.48
POL100177,2023-11-01,HHS,Compliance Requirement,99213,HOSP1182,TX,1692,150.52,185.67,0.913,59473.8
POL100178,2024-08-08,CDC,Compliance Requirement,93010,HOSP1118,MD,943,477.76,597.49,0.065,112905.39
POL100179,2023-02-25,FDA,Reimbursement Update,J2405,HOSP1228,AZ,384,366.44,382.34,0.286,6105.6
POL100180,2024-09-07,CMS,Compliance Requirement,99214,HOSP1036,OH,148,531.24,481.94,0.81,-7296.4
POL100181,2022-09-06,HHS,Billing Rule Change,99215,HOSP1182,TX,3463,181.2,207.08,0.781,89622.44
POL100182,2022-09-04,CDC,Reimbursement Update,99213,HOSP1185,CA,3662,136.82,120.9,0.967,-58299.04
POL100183,2024-10-03,FDA,Reimbursement Update,93000,HOSP1040,CA,4054,396.71,329.53,0.953,-272347.72
POL100184,2024-11-02,CDC,Billing Rule Change,99214,HOSP1012,IL,4360,54.95,43.44,0.701,-50183.6
POL100185,2023-06-22,FDA,Compliance Requirement,J2405,HOSP1174,MI,197,430.3,450.05,0.238,3890.75
POL100186,2025-04-11,FDA,Reimbursement Update,A0429,HOSP1135,MD,1428,108.11,125.56,0.288,24918.6
POL100187,2023-06-27,HHS,Reimbursement Update,J2405,HOSP1000,TN,4050,63.5,49.53,0.591,-56578.5
POL100188,2022-04-11,HHS,Coding Guideline Update,99214,HOSP1159,FL,160,516.96,635.81,0.389,19016.0
POL100189,2025-02-26,HHS,Coverage Expansion,J3490,HOSP1164,FL,1945,470.47,611.3,0.379,273914.35
POL100190,2024-07-16,CDC,Compliance Requirement,36415,HOSP1204,IL,3608,371.15,422.69,0.71,185956.32
POL100191,2024-04-18,HHS,Coverage Expansion,71020,HOSP1251,TX,844,314.59,405.03,0.159,76331.36
POL100192,2024-02-09,FDA,Compliance Requirement,80053,HOSP1277,WA,4456,336.45,261.11,0.939,-335715.04
POL100193,2023-11-09,FDA,Billing Rule Change,36415,HOSP1101,GA,210,456.93,590.78,0.308,28108.5
POL100194,2023-05-05,HHS,Compliance Requirement,90471,HOSP1297,FL,3366,262.45,219.66,0.869,-144031.14
POL100195,2023-03-12,CDC,Compliance Requirement,J1885,HOSP1152,OH,275,255.89,257.09,0.959,330.0
POL100196,2022-07-31,FDA,Reimbursement Update,J2405,HOSP1027,GA,1800,122.6,151.94,0.43,52812.0
POL100197,2022-07-16,HHS,Coverage Expansion,A0429,HOSP1198,OH,2544,161.73,180.8,0.436,48514.08
POL100198,2024-10-14,HHS,Billing Rule Change,71020,HOSP1114,FL,3480,321.14,338.05,0.948,58846.8
POL100199,2023-07-30,CMS,Coverage Expansion,J1100,HOSP1286,IL,473,382.04,471.65,0.682,42385.53
POL100200,2025-03-09,HHS,Billing Rule Change,80048,HOSP1275,FL,3441,136.03,108.69,0.346,-94076.94
POL100201,2022-02-20,CMS,Coding Guideline Update,99214,HOSP1277,NY,2155,554.69,608.42,0.267,115788.15
POL100202,2025-01-14,HHS,Billing Rule Change,80048,HOSP1293,WA,2213,570.8,590.83,0.231,44326.39
POL100203,2024-04-25,CMS,Billing Rule Change,J2405,HOSP1078,IL,852,541.59,653.99,0.299,95764.8
POL100204,2023-02-13,HHS,Compliance Requirement,J3490,HOSP1048,MN,1557,501.45,562.95,0.919,95755.5
POL100205,2022-10-17,CMS,Coverage Expansion,J3490,HOSP1169,AZ,2782,83.75,66.64,0.552,-47600.02
POL100206,2024-06-22,FDA,Billing Rule Change,83036,HOSP1146,MI,4690,502.8,420.48,0.667,-386080.8
POL100207,2024-12-18,HHS,Reimbursement Update,99215,HOSP1263,AZ,965,254.39,230.7,0.128,-22860.85
POL100208,2023-06-10,HHS,Billing Rule Change,J3490,HOSP1216,TN,2133,470.43,494.52,0.0,51383.97
POL100209,2022-01-25,FDA,Coding Guideline Update,83036,HOSP1064,GA,4823,526.02,559.92,0.962,163499.7
POL100210,2024-11-02,CMS,Reimbursement Update,99215,HOSP1216,MN,4432,126.12,133.08,0.768,30846.72
POL100211,2022-12-19,CMS,Compliance Requirement,99215,HOSP1268,OH,4269,69.98,81.08,0.151,47385.9
POL100212,2022-06-11,CDC,Coverage Expansion,A0429,HOSP1285,MD,4956,274.23,280.53,0.241,31222.8
POL100213,2023-05-05,FDA,Coverage Expansion,93000,HOSP1030,IN,3812,265.4,338.48,0.884,278580.96
POL100214,2024-02-03,CDC,Billing Rule Change,A0427,HOSP1186,WA,3534,529.87,506.04,0.556,-84215.22
POL100215,2023-05-08,FDA,Billing Rule Change,J2405,HOSP1027,CO,1312,451.26,554.74,0.252,135765.76
POL100216,2024-09-12,CDC,Coverage Expansion,99214,HOSP1272,MA,3216,451.66,570.08,0.128,380838.72
POL100217,2024-07-05,HHS,Billing Rule Change,93000,HOSP1102,IN,2491,207.87,190.85,0.912,-42396.82
POL100218,2022-06-28,CMS,Coding Guideline Update,A0429,HOSP1253,MD,402,576.64,468.0,0.44,-43673.28
POL100219,2022-04-21,FDA,Compliance Requirement,93000,HOSP1031,TN,4142,94.46,79.85,0.692,-60514.62
POL100220,2023-01-25,HHS,Reimbursement Update,83036,HOSP1294,CA,872,327.07,340.03,0.85,11301.12
POL100221,2022-09-13,CMS,Reimbursement Update,J3490,HOSP1018,NY,2244,537.59,437.79,0.103,-223951.2
POL100222,2023-08-21,FDA,Reimbursement Update,93000,HOSP1054,MI,3632,534.55,655.5,0.876,439290.4
POL100223,2023-10-04,FDA,Coding Guideline Update,85025,HOSP1005,IN,4094,43.37,40.48,0.832,-11831.66
POL100224,2024-03-27,HHS,Billing Rule Change,71020,HOSP1116,IL,522,44.99,55.4,0.955,5434.02
POL100225,2025-01-04,HHS,Reimbursement Update,99213,HOSP1204,OH,1046,447.65,365.84,0.032,-85573.26
POL100226,2022-03-20,FDA,Coverage Expansion,80048,HOSP1272,WI,3623,499.22,453.53,0.795,-165534.87
POL100227,2023-11-03,FDA,Coding Guideline Update,J3490,HOSP1289,IL,4018,307.93,347.95,0.155,160800.36
POL100228,2025-01-04,HHS,Coverage Expansion,99215,HOSP1054,OH,349,461.44,518.66,0.88,19969.78
POL100229,2024-03-15,CDC,Reimbursement Update,G0463,HOSP1002,WA,3594,579.55,583.88,0.26,15562.02
POL100230,2022-07-17,FDA,Reimbursement Update,83036,HOSP1144,FL,837,339.6,438.17,0.784,82503.09
POL100231,2025-02-22,FDA,Reimbursement Update,J3490,HOSP1152,TN,3578,527.79,610.36,0.932,295435.46
POL100232,2023-06-10,HHS,Compliance Requirement,G0463,HOSP1232,MA,2168,241.45,256.59,0.761,32823.52
POL100233,2023-04-08,HHS,Coverage Expansion,80053,HOSP1021,TX,4621,487.58,585.42,0.381,452118.64
